['53', '大闹天宫', 'https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2184505167.jpg', '导演:万籁鸣LaimingWan   主演:邱岳峰YuefengQiu/富润生RunshengFu...1961(中国大陆)/1964(中国大陆)/1978(中国大陆) / 中国大陆 / 剧情动画奇幻古装', '9.4', '460082人评价', '经典之作，历久弥新。']
['54', '罗马假日', 'https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2189265085.jpg', '导演:威廉·惠勒WilliamWyler   主演:奥黛丽·赫本AudreyHepburn/格...1953 / 美国 / 喜剧剧情爱情', '9.1', '980752人评价', '爱情哪怕只有一天。']
['55', '指环王1：护戒使者', 'https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2197698335.jpg', '导演:彼得·杰克逊PeterJackson   主演:伊利亚·伍德ElijahWood/西恩...2001 / 新西兰美国 / 剧情动作奇幻冒险', '9.1', '882329人评价', '传说的开始。']
['56', '黑客帝国', 'https://img1.doubanio.com/view/photo/s_ratio_poster/public/p451926968.jpg', '导演:安迪·沃卓斯基AndyWachowski/拉娜·沃卓斯基LanaWachowski   主...1999 / 美国 / 动作科幻', '9.1', '870244人评价', '视觉革命。']
['57', '天堂电影院', 'https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2653054340.jpg', '导演:朱塞佩·托纳多雷GiuseppeTornatore   主演:菲利普·努瓦雷Philipp...1988 / 意大利法国 / 剧情爱情', '9.2', '698548人评价', '那些吻戏，那些青春，都在影院的黑暗里被泪水冲刷得无比清晰。']
['58', '教父2', 'https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2194138787.jpg', '导演:弗朗西斯·福特·科波拉FrancisFordCoppola   主演:阿尔·帕西诺A...1974 / 美国 / 剧情犯罪', '9.3', '578629人评价', '优雅的孤独。']
['59', '狮子王', 'https://img3.doubanio.com/view/photo/s_ratio_poster/public/p726659067.jpg', '导演:RogerAllers/罗伯·明可夫RobMinkoff   主演:乔纳森·泰勒·托马...1994 / 美国 / 动画冒险歌舞', '9.1', '881418人评价', '动物版《哈姆雷特》。']
['60', '辩护人', 'https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2158166535.jpg', '导演:杨宇硕Woo-seokYang   主演:宋康昊Kang-hoSong/金英爱Yeong-ae...2013 / 韩国 / 剧情', '9.2', '612440人评价', '电影的现实意义大过电影本身。']
['61', '饮食男女', 'https://img2.doubanio.com/view/photo/s_ratio_poster/public/p1910899751.jpg', '导演:李安AngLee   主演:郎雄SihungLung/杨贵媚Kuei-MeiYang/吴...1994 / 中国台湾美国 / 剧情家庭', '9.2', '650281人评价', '人生不能像做菜，把所有的料都准备好了才下锅。']
['62', '搏击俱乐部', 'https://img3.doubanio.com/view/photo/s_ratio_poster/public/p1910931622.jpg', '导演:大卫·芬奇DavidFincher   主演:爱德华·诺顿EdwardNorton/布拉...1999 / 美国 / 剧情动作悬疑惊悚', '9.0', '881758人评价', '邪恶与平庸蛰伏于同一个母体，在特定的时间互相对峙。']
['63', '本杰明·巴顿奇事', 'https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2192535722.jpg', '导演:大卫·芬奇DavidFincher   主演:凯特·布兰切特CateBlanchett/...2008 / 美国 / 剧情爱情奇幻', '9.0', '1022088人评价', '在时间之河里感受溺水之苦。']
